Case ID,Activity ID,Activity Date,Originating Department,Owner Department,Controlling Department,Cargo Property Damage,Facility Property Damage,Other Property Damage,Vessel Property Damage,Total Property Damage,Total Persons at Risk,Total Persons Dead,Total Persons Missing,Total Persons Injured,Vessels Actual Total Loss,Vessels Constructive Total Loss,Vessels Damaged,Vessels Undamaged,Level of Investigation,IMO Designation,US Designation,Serious Marine Incident Designation,Latitude,Longitude,Activity Title,Case Title,Incident Involved
486351,3673761,1/1/2010,MSU PADUCAH (007766),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$200.00,"$1,800.00","$2,000.00",0,0,0,0,0,0,2,1,Data Collection,Routine,Routine,Not a Serious Marine Incident,37.069980000000000,-88.571300000000000,EMMA KATE Allision,MS Allision/EMMA KATE/ Paducah 37 04.1988 N 088 34.278 W Mile 932.5 Ohio River Owens Island/012335ZJAN10,Allision
487363,3662467,1/1/2010,MSU HUNTINGTON (007767),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$0.00,$0.00,1,0,0,1,0,0,0,2,Informal,Routine,Routine,Serious Marine Incident,38.192972000000000,-81.370418000000000,24HUN10/UTV BILL STILE/INJURY,MS Loss of Life/Injury/BILL STILE/ Pt Pleasant 38 49.4904 N 082 09.654 W mile marker 267 of the Ohio River/012020ZJAN10,Personnel Casualty - Injury
486358,3669435,1/1/2010,MSU PADUCAH (007766),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$5,000.00","$5,000.00",0,0,0,0,0,0,1,1,Data Collection,Routine,Routine,Not a Serious Marine Incident,37.078450000000000,-88.571400000000000,JACK WALKER / Allision,MS Allision/JACK WALKER/ Paducah 37 05.3796 N 088 35.3634 W Milw 934 Ohio River Owens Island/020344ZJAN10,Allision
487396,3662636,1/2/2010,MSU PITTSBURGH (007764),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$500.00,$500.00,0,0,0,0,0,0,1,0,Informal,Routine,Routine,Not a Serious Marine Incident,39.809536000000000,-79.918479000000000,MRT 1902 SINKING CUMBERLAND MINE MONRVR MM 80.5,MS Capsize/ Monongahela River MM 80.5./021630ZJAN10,Material Failure/Malfunction
486798,3659777,1/6/2010,MSU PADUCAH (007766),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$500.00,$500.00,0,0,0,0,0,0,1,7,Data Collection,Routine,Routine,Not a Serious Marine Incident,37.682540000000000,-89.513720000000000,CAROL ANN PARSONAGE Break Away / Grounding,MS Breakaway/CAROL ANN PARSONAGE/ 37 40.9524 N 089 30.8232 W 83.5 UMR R/D/B/061720ZJAN10,Grounding
486981,3664756,1/8/2010,MSU PADUCAH (007766),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$2,000.00","$2,000.00",0,0,0,0,0,0,1,0,Data Collection,Routine,Routine,Not a Serious Marine Incident,36.970170000000000,-89.102620000000000,Bethany Dawn / grounding,MS Collision/BETHANY DAWN/ 36 58.2102 N 089 06.1572 W MM 952 LMR/080624ZJAN10,Grounding
487099,3663135,1/9/2010,MSU PADUCAH (007766),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$167,500.00","$167,500.00",0,0,0,0,0,0,2,4,Informal,Routine,Routine,Serious Marine Incident,36.981110000000000,-89.115555000000000,DARIN ADRIAN Grounding / Pollution,DARIN ADRIAN/ POL/ NOV,Grounding
487151,3662547,1/10/2010,SECTOR OHIO VALLEY (007728),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$15,000.00","$15,000.00",0,0,0,0,0,0,1,2,Data Collection,Routine,Routine,Not a Serious Marine Incident,38.725666666700000,-85.435833333300000,M/V CITY OF  LOUISVILLE - Grounding,MS Grounding/CITY OF LOUISVILLE/ MILE 561 OHIO RIVER/100943ZJAN10,Loss/Reduction of Vessel Propulsion/Steering
490065,3677063,1/11/2010,MSD NASHVILLE (007763),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$10,000.00","$10,000.00",0,0,0,0,0,0,1,0,Informal,Routine,Routine,Not a Serious Marine Incident,35.393333000000000,-88.027500000000000,Loss of Steering - M/V ADDI BELLE - TNR 160,MS Equipment Failure/Addi Belle/ Point Pleasant 35 23.1666 N 088 11.049 W Mile Marker 171 Tennessee river Left Descending Bank/112100ZJAN10,Material Failure/Malfunction
489539,3674071,1/11/2010,MSU PADUCAH (007766),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$100.00,$100.00,0,0,0,0,0,0,1,0,Data Collection,Routine,Routine,Not a Serious Marine Incident,37.016461666700000,-88.268258333300000,UTV EVEY T/Equipment Failure,MS Equipment Failure/EVEY T/ 37 00.783 N 088 16.2978 W Mile 22.4 Tennessee River/110519ZJAN10,Material Failure/Malfunction
